player_id,skillcorner_name,fbref_name,player_dribbling_skill
26277,Gastón Nicolás González,Gaston Gonzalez,-0.2254642015950606
23282,Alan Pulido Izaguirre,Alan Pulido,-0.2267549267874089
25960,Andrés Felipe Reyes Ambuila,Andrés Reyes,-0.2289395787798143
1100,Ashley Westwood,Ashley Westwood,-0.2333039893458234
9749,Sergio Busquets Burgos,Sergio Busquets,-0.2334512487040008
27106,Héctor Jiménez,Jesús Jiménez,-0.2362034895137494
17001,Jesús Jiménez Núñez,Jesús Jiménez,-0.2362034895137494
34541,Dylan Nealis,Dylan Nealis,-0.236597317515546
36441,Shane O'Neill,Shane O'Neill,-0.2371741709738155
24755,Felipe Martins Campanholi,Luís Martins,-0.2372903731919037
123138,Lukas MacNaughton,Luís Martins,-0.2372903731919037
6437,Luís Carlos Ramos Martins,Luís Martins,-0.2372903731919037
28143,Rasmus Alm,Rasmus Alm,-0.2377138885698775
24691,Indiana Vassilev,Indiana Vassilev,-0.2387402295362261
24103,Franck Boli,Franck Boli,-0.2390568264921065
36343,Daniel Alonso Aceves Patiño,Alonso Aceves,-0.2412484362081874
36533,David Bingham,David Ruíz,-0.2435710873228697
123132,Daniel Edelman,Daniel Edelman,-0.2462065589795362
23540,Saba Lobjanidze,Saba Lobzhanidze,-0.2470299472092769
27147,Zachary Brault-Guillard,Zachary Brault-Guillard,-0.2515465219045158
27116,Paxton Pomykal,Paxton Pomykal,-0.2529690123332049
16268,Andreas Maxsø,Andrés Cubas,-0.2559703388756802
30968,Adrián Andrés Cubas,Andrés Cubas,-0.2559703388756802
27213,Jaylin Lindsey,Jaylin Lindsey,-0.2584009491725245
581396,Duncan McGuire,Duncan McGuire,-0.2615619192940915
2574,DeAndre Roselle Roselle Yedlin,DeAndre Yedlin,-0.2618433085378875
58946,Obed Gómez Vargas,Obed Vargas,-0.2623321115426846
10692,Victor Wanyama,Victor Wanyama,-0.268020121648881
17965,Gyasi Zardes,Gyasi Zardes,-0.2699420346883742
149299,Themi Antonoglou,Themi Antonoglou,-0.2736401694843052
123135,Katlego Ntsabeleng,Tsiki Ntsabeleng,-0.274334328201773
