player_id,skillcorner_name,fbref_name,player_finishing_skill
36594,Tyler Wolff,Tyler Wolff,3.4019669280716034
581396,Duncan McGuire,Duncan McGuire,3.223767777430308
33791,Ian Harkes,Ian Harkes,2.9981122267904583
332886,Maximilian Arfsten,Max Arfsten,2.9550791006422577
14440,Maarten Paes,Martín Cáceres,2.709529947971581
27227,Griffin Dorsey,Griffin Dorsey,2.5166740237771412
334747,Griffin Dillon,Griffin Dorsey,2.5166740237771412
34527,Justen Glad,Justen Glad,2.373473307987054
592212,J.C. Ngando,Justen Glad,2.373473307987054
36442,Stefan Cleveland,Justen Glad,2.373473307987054
38539,Edwin Stiven Mosquera Palacios,Edwin Mosquera,2.3127701338280016
36443,Will Bruin,Will Bruin,2.2589323704942776
31149,Lalas Abubakar,Lalas Abubakar,2.097606127212645
123734,Caleb Wiley,Caleb Wiley,2.0456664647194645
17907,Jonathan Osorio,Jonathan Osorio,1.922624914086728
18309,Júnior Leonardo Moreno Borrero,Junior Moreno,1.9072555835757736
23540,Saba Lobjanidze,Saba Lobzhanidze,1.874049507703464
224557,Brooklyn Raines,Donovan Pines,1.7318595822762914
24759,Donovan Pines,Donovan Pines,1.7318595822762914
126074,Ian Murphy,Ian Fray,1.7305181244106915
238473,Bernard Kamungo,Bernard Kamungo,1.7199537882228118
27135,Brent Kallman,Bernard Kamungo,1.7199537882228118
17069,Filip Krastev,Filip Krastev,1.5983773906646488
625256,Ousman Jabang,Cristian Arango,1.5877501987331804
16253,Cristian Daniel Arango Duque,Cristian Arango,1.5877501987331804
31144,Jimmy Maurer,Tim Parker,1.5649069234404855
24739,Tim Parker,Tim Parker,1.5649069234404855
36533,David Bingham,David Ruíz,1.5528322306425375
140216,Sean Zawadzki,Sean Zawadzki,1.5231835705750436
7408,Michael Bradley,Michael Bradley,1.498737998285194
43293,Chris Brady,Michael Bradley,1.498737998285194
10227,Teemu Pukki,Teemu Pukki,1.4884866919084128
28143,Rasmus Alm,Rasmus Alm,1.4655074610959544
12706,Georgios Giakoumakis,Giorgos Giakoumakis,1.4340114051685644
153171,Luis Enrique Jr Zamudio Lizardo,Dominique Badji,1.4190871451513896
31142,Dominique Badji,Dominique Badji,1.4190871451513896
24253,Kamal Anthony Miller,Mark-Anthony Kaye,1.4124711795150888
17903,Mark-Anthony Kaye,Mark-Anthony Kaye,1.4124711795150888
332807,Julian Anthony Altobelli,Mark-Anthony Kaye,1.4124711795150888
33032,Malte Amundsen,Malte Amundsen,1.3980864755920672
36551,Alec Kann,Malte Amundsen,1.3980864755920672
31136,Sam Junqua,Sam Junqua,1.3953577064300762
28586,Taylor Washington,Taylor Washington,1.3745727617767654
36552,Brooks Lennon,Brooks Lennon,1.3697352847406166
149790,Roman Celentano,Brooks Lennon,1.3697352847406166
64556,Thorleifur Úlfarsson,Þorleifur Ölfarsson,1.357955334097324
23455,Gadi Kinda,Gadi Kinda,1.339387570006574
581397,Malik Pinto,Alan Pulido,1.285602902753969
23282,Alan Pulido Izaguirre,Alan Pulido,1.285602902753969
43273,Ahmed Hamdi Hussein Hafez,Ahmed Hamdi,1.251601768978587
123136,Deandre Kerr,Deandre Kerr,1.250339501161108
36449,Henry Kessler,Deandre Kerr,1.250339501161108
18057,Andre Blake,Deandre Kerr,1.250339501161108
149304,Jojea Kwizera,Deandre Kerr,1.250339501161108
18531,Billy Sharp,Billy Sharp,1.2403797268504515
36604,Nkosi Tafari Burgess,Nkosi Tafari,1.2241111442845516
38178,Rodney Iván Redes Cáceres,Rodney Redes,1.2025439637878017
162855,Jacen Russell-Rowe,Jacen Russell-Rowe,1.1958230663912677
179478,Simon Becher,Simon Becher,1.1826159545856598
36598,Isaac Boehmer,Simon Becher,1.1826159545856598
33934,Obinna Nwobodo,Obinna Nwobodo,1.1568459647647256
8250,Oriol Rosell Argerich,Jon Gallagher,1.1220676647242942
29296,Jon Gallagher,Jon Gallagher,1.1220676647242942
27110,Ryan Hollingshead,Ryan Hollingshead,1.11513325966704
68832,Eric Dick,Ercan Kara,1.1151247407202431
35620,Tristan Muyumba Nkita,Tristan Muyumba,1.0927410929750605
16278,Maren Haile-Selassie,Maren Haile-Selassie,1.0807262865869682
24995,Robert Voloder,Robert Taylor,1.0763059464466875
17494,Robert Taylor,Robert Taylor,1.0763059464466875
59297,Robert Castellanos,Robert Taylor,1.0763059464466875
5326,Jordi Alba Ramos,Jordan Morris,1.0653948573603185
24260,Jordan Perry Morris,Jordan Morris,1.0653948573603185
165145,Diego Ángel Luna,Diego Luna,1.0385168358561556
58947,Samuel Oluwabukunmi Adeniran,Samuel Adeniran,1.0213796054518047
17896,Samuel Ayomide Adekugbe,Samuel Adeniran,1.0213796054518047
27087,Miles Robinson,Miles Robinson,1.0037125840944572
620393,Levonte Johnson,Miles Robinson,1.0037125840944572
43220,Luke Haakenson,Miles Robinson,1.0037125840944572
159694,Paul Miles Rothrock,Miles Robinson,1.0037125840944572
539830,Tomás Agustín Avilés Mancilla,Tomás Avilés,0.9960046470630048
19151,Timothy Tillman,Timmy Tillman,0.993817827919671
27154,DeJuan Lytelle Jones,DeJuan Jones,0.9833125428685948
24262,Sean Johnson,DeJuan Jones,0.9833125428685948
43215,Jáder Rafael Obrian Arias,Jáder Obrian,0.9796401361006072
18059,Damion Lowe,Damion Lowe,0.9712263687289364
78115,Damian Las,Damion Lowe,0.9712263687289364
36478,Felipe Andrés Mora Aliaga,Felipe Mora,0.965381459466358
24111,Nicholas Gioacchini,Nicholas Gioacchini,0.9586173685655852
360077,Nicholás Enrique Benalcázar,Nicholas Gioacchini,0.9586173685655852
24760,Luciano Federico Acosta,Luciano Acosta,0.9510364586317768
24266,Corey Baird,Corey Baird,0.9478173621831972
23847,Darlington Nagbe,Darlington Nagbe,0.9325980956626292
36549,Franco Nicolás Escobar,Franco Escobar,0.9319611101063928
153170,Ali Ahmed,Ali Ahmed,0.9283183172082512
23718,Rudy Camacho,Rudy Camacho,0.9058202018029988
584968,Nökkvi Thórisson,Nökkvi Þórisson,0.9037715707211558
27214,Luis Felipe Hernández Rico,Felipe Hernandez,0.9029567578793604
17963,Bobby Shou Wood,Bobby Wood,0.8852893658550774
36438,Aidan Morris,Aidan Morris,0.8740383724689159
36343,Daniel Alonso Aceves Patiño,Daniel Musovski,0.8456303928697954
36577,Danny Musovski,Daniel Musovski,0.8456303928697954
25467,Walker Dwain Zimmerman,Walker Zimmerman,0.8220436066448792
332778,Kyle Hiebert,Kyle Hiebert,0.8106136239317296
15605,Yevgen Cheberko,Kyle Hiebert,0.8106136239317296
36450,Carles Gil de Pareja Vicent,Carles Gil,0.7951867233519379
69105,Owen Wolff,Owen Wolff,0.7800084122391912
1100,Ashley Westwood,Ashley Westwood,0.7768901608081765
36579,Sebastian Berhalter,Sebastian Berhalter,0.7729181532898128
54635,Denil Omar Maldonado Munguía,Denil Maldonado,0.763968841772106
27130,Daniel Steres,Daniel Steres,0.7521637173742086
27742,Teenage Hadebe,George Campbell,0.732798427963168
124341,George Marks,George Campbell,0.732798427963168
